Var1,Freq
Greece,61401
Greece:Crete,48380
Greece:Athens,1250
"Greece: Crete, Mt. Ida",362
Greece:Marathonas Reservoir,338
Greece:Peloponnese,327
Greece:Western Greece,327
Greece:Eastern Mediterranean Sea,296
Greece:Rhodes,230
Greece:Thessaloniki,226
Greece: Crete,189
Greece:Santorini,173
Greece:Chania,171
Greece:Andros Island,168
Greece:Epirus mountains,161
Greece:Paxos,148
Greece:Lake Kastoria,146
Greece: North Aegean Sea,138
Greece:Chios,133
Greece: Saronic Gulf,131
Greece: Cretan Sea,127
Greece: Corinthian Gulf,126
"Greece:Rhodes Island, Port of Skala Kamirou",118
Greece:Velestino,114
Greece:Trikala City,112
Greece:Kavala,110
Greece:Panachaiko Mt,110
Greece:Eastern Macedonia Thrace,108
Greece:Lesvos,107
Greece:Ionian Sea,102
Greece:Macedonia,99
Greece:Milos Island,99
Greece:North Aegean,97
Greece: Region of Pella,96
Greece:north Aegean Sea,93
Greece:Tinos Island,92
Greece:Mesoxori,86
Greece: Stymfalia lake,85
"Greece:Crete, Iraklion",82
Greece:Ioannina,81
Greece:Naxos Island,79
"Greece:Kastoria, Lake Orestiada",78
Greece:Samos,78
Greece:Attica,75
Greece:Kos Island,75
Greece:Mediterranean Region,75
Greece:Saronida,75
Greece: GSA20,74
"Greece: Spata, Attica",74
Greece:Pori isl.,73
Greece:Askion Mts. and env.,71
Greece:Magnesia,69
Greece:Pinios drainage,68
Greece:Lesbos,62
Greece:Pelloponnese,62
Greece:Sifnos Island,62
Greece:Naxos,61
Greece:Antiparos Island,60
Greece:Mediterranean Sea,60
Greece:Strymon drainage,59
Greece:Epirus Periphery,58
Greece:Nea Peramos Kavala,58
Greece:Cretan Sea,57
Greece:Mykonos Island,57
Greece: Attica,56
"Greece:Aegean Sea, Southeast of Milos",55
Greece:Katerini,54
Greece:Lake Doirani,54
Greece:Xanthi,54
Greece:Trichonis drainage,53
Greece:Vardar drainage,53
Greece: Crete island,52
Greece:Ikaria Island,52
Greece:Crete Island,51
Greece:Donoussa Island,51
Greece:Varybobi,51
"Greece:Aegean Sea, southeast off the island Milos",50
"Greece: Chelmos Mt., Gaidurrorachi",49
"Greece: Dytiki Makedonia, Skiti",49
Greece:Gulf of Kavala,49
Greece:Creta,48
Greece:Paros Island,48
Greece:Rhodos,48
Greece:Metsovo,47
Greece:Poros Arboricultural Station,47
"Greece: Kandila springs, channel system",46
Greece: Nisyros,46
Greece:Cyclades Islands,46
Greece:Kos,46
"Greece: Crete, Kournas Lake",45
Greece:Chrysovitsi,45
Greece:Imathia,45
Greece:Herakleia Island,44
Greece:Komotini,44
Greece:Miras River,44
Greece:Serifos Island,44
Greece:Volos,44
